MPI BenchMarking, For Shared mode, (ptile=N):
p= 6, maxh= 756, maxn= 712 r= 509.147 Mflop/s, g= 2.8, l= 6016.9
p= 6, maxh= 756, maxn= 812 r= 447.673 Mflop/s, g= -0.1, l= 3755.5
p= 6, maxh= 756, maxn= 912 r= 458.026 Mflop/s, g= 1.8, l= 5375.5
p= 6, maxh= 756, maxn= 1012 r= 232.816 Mflop/s, g= -0.1, l= 1953.9
p= 6, maxh= 756, maxn= 1112 r= 421.926 Mflop/s, g= 1.9, l= 4800.3
p= 6, maxh= 756, maxn= 1212 r= 384.854 Mflop/s, g= 1.6, l= 3369.1
p= 6, maxh= 756, maxn= 1312 r= 500.282 Mflop/s, g= 2.5, l= 5338.9
p= 6, maxh= 756, maxn= 1412 r= 415.141 Mflop/s, g= -311.8, l= 170317.3
p= 8, maxh= 256, maxn= 512 r= 460.554 Mflop/s, g= -8.6, l= 164951.7
p= 8, maxh= 256, maxn= 612 r= 458.672 Mflop/s, g= 2.0, l= 4521.4
p= 8, maxh= 256, maxn= 712 r= 382.991 Mflop/s, g= 0.1, l= 6072.9
p= 8, maxh= 256, maxn= 812 r= 450.034 Mflop/s, g= -184.8, l= 37026.0
p= 8, maxh= 256, maxn= 912 r= 467.245 Mflop/s, g= -7.6, l= 660475.4
p= 8, maxh= 256, maxn= 1012 r= 440.466 Mflop/s, g= -12327.9, l= 2173459.2
p= 8, maxh= 256, maxn= 1112 r= 253.281 Mflop/s, g= 0.1, l= 4189.0
p= 8, maxh= 256, maxn= 1212 r= 461.429 Mflop/s, g= 2.5, l= 4736.1
p= 8, maxh= 256, maxn= 1312 r= 460.201 Mflop/s, g= -709.7, l= 156480.3
p= 8, maxh= 256, maxn= 1412 r= 250.891 Mflop/s, g= -0.3, l= 4052.0
p= 8, maxh= 356, maxn= 512 r= 285.929 Mflop/s, g= -1.3, l= 3419.2
p= 8, maxh= 356, maxn= 612 r= 247.743 Mflop/s, g= 0.9, l= 3808.0
p= 8, maxh= 356, maxn= 712 r= 448.503 Mflop/s, g= -47947.2, l= 12232581.7
p= 8, maxh= 356, maxn= 812 r= 429.354 Mflop/s, g= -43066.4, l= 10970359.5
p= 8, maxh= 356, maxn= 912 r= 249.934 Mflop/s, g= 1.0, l= 3778.0
